window,specification,aggregation,index,endpoint,association,common_support_association,paired_delta_chla_minus_cyano,n_rows,n_estimable_weirs,n_common_weirs,n_cells,singleton_cells,cells_le_2,median_cell_size,full_ci_low,full_ci_high,full_finite_draws,common_ci_low,common_ci_high,common_finite_draws,delta_ci_low,delta_ci_high,delta_finite_draws,bootstrap_draws,bootstrap_seed,p_method
pm2_2017_2025,within_weir_percentile_midrank,equal_per_observation,fai,harmful_cyanobacteria,0.28797054592704208,0.28797054592704208,-0.11798531115293187,1142,13,13,104,8,8,10,0.19074583884973495,0.36774890761160389,3000,0.1932710677251048,0.36857422994837524,3000,-0.24390743967800407,0.040914756972613452,3000,3000,20260815,not_computed_ci_primary
pm2_2017_2025,site_by_calendar_month_pearson,equal_per_weir_fisher_z,ndci,chlorophyll_a,0.37705212941874522,0.38141022474447411,0.18348344322059401,1142,16,13,104,8,8,10,0.3090198335150271,0.43168016990030378,3000,0.30457608615656795,0.44607787456732056,3000,0.10227233871883147,0.26255402911198533,3000,3000,20260815,not_computed_ci_primary
pm2_2017_2025,site_by_calendar_month_pearson,equal_per_weir_fisher_z,ndci,harmful_cyanobacteria,0.1979267815238801,0.1979267815238801,0.18348344322059401,1142,13,13,104,8,8,10,0.099729432727331244,0.28520102739264247,3000,0.097353001833204209,0.27995039963443452,3000,0.10227233871883147,0.26255402911198533,3000,3000,20260815,not_computed_ci_primary
pm2_2017_2025,site_by_calendar_month_pearson,equal_per_weir_fisher_z,fai,chlorophyll_a,0.11925634376062232,0.1370865036935337,0.050257149558966027,1142,16,13,104,8,8,10,0.052535799760986442,0.17959801524540278,3000,0.054655480566476171,0.19960194187367231,3000,-0.049547400077123063,0.14396207135528688,3000,3000,20260815,not_computed_ci_primary
pm2_2017_2025,site_by_calendar_month_pearson,equal_per_weir_fisher_z,fai,harmful_cyanobacteria,0.086829354134567674,0.086829354134567674,0.050257149558966027,1142,13,13,104,8,8,10,-0.00094631615119626633,0.1733467346604379,3000,-0.0011266426864020988,0.17391201248306595,3000,-0.049547400077123063,0.14396207135528688,3000,3000,20260815,not_computed_ci_primary
pm2_2017_2025,site_by_calendar_month_pearson,equal_per_observation,ndci,chlorophyll_a,0.38126886322520492,0.38434978648746598,0.20407462574047175,1142,16,13,104,8,8,10,0.32489210028283078,0.43543541672736696,3000,0.32078269755348027,0.44178758480742591,3000,0.12393734078177118,0.28597020629747194,3000,3000,20260815,not_computed_ci_primary
pm2_2017_2025,site_by_calendar_month_pearson,equal_per_observation,ndci,harmful_cyanobacteria,0.18027516074699423,0.18027516074699423,0.20407462574047175,1142,13,13,104,8,8,10,0.090481115543797647,0.26754631706550264,3000,0.096724700193368068,0.26641796913231536,3000,0.12393734078177118,0.28597020629747194,3000,3000,20260815,not_computed_ci_primary
pm2_2017_2025,site_by_calendar_month_pearson,equal_per_observation,fai,chlorophyll_a,0.13088416593164179,0.13802823810601589,0.052679325064506649,1142,16,13,104,8,8,10,0.078876482870758116,0.18068677884689577,3000,0.083359819633022081,0.18996846716996202,3000,-0.024732326820015079,0.1492247250170485,3000,3000,20260815,not_computed_ci_primary
pm2_2017_2025,site_by_calendar_month_pearson,equal_per_observation,fai,harmful_cyanobacteria,0.085348913041509239,0.085348913041509239,0.052679325064506649,1142,13,13,104,8,8,10,-6.5182025980556235e-05,0.16868222430475088,3000,-0.0025123543813941507,0.16753936688367138,3000,-0.024732326820015079,0.1492247250170485,3000,3000,20260815,not_computed_ci_primary
pm3_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,ndci,chlorophyll_a,0.45020553682648629,0.40970096394410987,0.033141101959060948,1385,16,13,111,14,15,12,0.37670064295717243,0.52116481321773855,3000,0.33905607708276703,0.48692458320367971,3000,-0.050992619953130876,0.13369612778008563,3000,3000,20260815,not_computed_ci_primary
pm3_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,ndci,harmful_cyanobacteria,0.37655986198504893,0.37655986198504893,0.033141101959060948,1385,13,13,111,14,15,12,0.27959298397946264,0.46548230660739759,3000,0.27676792993349286,0.46369769174094705,3000,-0.050992619953130876,0.13369612778008563,3000,3000,20260815,not_computed_ci_primary
pm3_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,fai,chlorophyll_a,0.18977997151342033,0.20683795806343119,0.0091539379630030671,1385,16,13,111,14,15,12,0.12752120722731436,0.25684497999282829,3000,0.13230753965598463,0.28637581231853726,3000,-0.11043012267039645,0.15628062277536073,3000,3000,20260815,not_computed_ci_primary
pm3_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,fai,harmful_cyanobacteria,0.19768402010042813,0.19768402010042813,0.0091539379630030671,1385,13,13,111,14,15,12,0.11126163211655367,0.2741938186795651,3000,0.11281381508380275,0.27782608173035173,3000,-0.11043012267039645,0.15628062277536073,3000,3000,20260815,not_computed_ci_primary
pm3_2017_2025,raw_within_weir_pearson,equal_per_observation,ndci,chlorophyll_a,0.41569941152069745,0.39297839023478087,0.028096346574081665,1385,16,13,111,14,15,12,0.34827534093578721,0.48819890335415744,3000,0.3242172265660837,0.46390780593652919,3000,-0.039096235787351448,0.097462048195969597,3000,3000,20260815,not_computed_ci_primary
pm3_2017_2025,raw_within_weir_pearson,equal_per_observation,ndci,harmful_cyanobacteria,0.36488204366069921,0.36488204366069921,0.028096346574081665,1385,13,13,111,14,15,12,0.28440674298514101,0.4484016978875765,3000,0.27792338122495719,0.44488161672253146,3000,-0.039096235787351448,0.097462048195969597,3000,3000,20260815,not_computed_ci_primary
pm3_2017_2025,raw_within_weir_pearson,equal_per_observation,fai,chlorophyll_a,0.17681583714118179,0.18432894264511721,-0.020998182477113048,1385,16,13,111,14,15,12,0.1143635041641051,0.25073490511683105,3000,0.11805294788965877,0.25682234057058118,3000,-0.13228538767434683,0.11372356907376906,3000,3000,20260815,not_computed_ci_primary
pm3_2017_2025,raw_within_weir_pearson,equal_per_observation,fai,harmful_cyanobacteria,0.20532712512223025,0.20532712512223025,-0.020998182477113048,1385,13,13,111,14,15,12,0.11373969019432231,0.28911301046840354,3000,0.11595084659703241,0.28483639700468127,3000,-0.13228538767434683,0.11372356907376906,3000,3000,20260815,not_computed_ci_primary
pm3_2017_2025,within_weir_percentile_midrank,equal_per_weir_fisher_z,ndci,chlorophyll_a,0.46683583583297855,0.4300630981876723,-0.0075767415447721143,1385,16,13,111,14,15,12,0.38484627205907052,0.54310173803537543,3000,0.34708526751230545,0.51724943197050344,3000,-0.09618723848831813,0.088260783214001659,3000,3000,20260815,not_computed_ci_primary
pm3_2017_2025,within_weir_percentile_midrank,equal_per_weir_fisher_z,ndci,harmful_cyanobacteria,0.43763983973244441,0.43763983973244441,-0.0075767415447721143,1385,13,13,111,14,15,12,0.33350983519206451,0.52923512242891724,3000,0.33125453378014003,0.52869842701697845,3000,-0.09618723848831813,0.088260783214001659,3000,3000,20260815,not_computed_ci_primary
pm3_2017_2025,within_weir_percentile_midrank,equal_per_weir_fisher_z,fai,chlorophyll_a,0.20439914165925538,0.20676374761849003,-0.082197259000506895,1385,16,13,111,14,15,12,0.12878175884424109,0.28482148021071801,3000,0.11747744028958362,0.30619979534748054,3000,-0.2198413810496494,0.096753263724854613,3000,3000,20260815,not_computed_ci_primary
pm3_2017_2025,within_weir_percentile_midrank,equal_per_weir_fisher_z,fai,harmful_cyanobacteria,0.28896100661899693,0.28896100661899693,-0.082197259000506895,1385,13,13,111,14,15,12,0.18672376457193213,0.38074330220540481,3000,0.1863632339124599,0.38087776112370197,3000,-0.2198413810496494,0.096753263724854613,3000,3000,20260815,not_computed_ci_primary
pm3_2017_2025,within_weir_percentile_midrank,equal_per_observation,ndci,chlorophyll_a,0.44229871947117205,0.4213752389340813,-0.0090858268998014746,1385,16,13,111,14,15,12,0.36982669496111692,0.51913242720575214,3000,0.34408733599973029,0.49926930900100502,3000,-0.087644949347402634,0.068413416334777127,3000,3000,20260815,not_computed_ci_primary
pm3_2017_2025,within_weir_percentile_midrank,equal_per_observation,ndci,harmful_cyanobacteria,0.43046106583388277,0.43046106583388277,-0.0090858268998014746,1385,13,13,111,14,15,12,0.33696127183443453,0.51629685696211625,3000,0.33858174880515046,0.51893373189938385,3000,-0.087644949347402634,0.068413416334777127,3000,3000,20260815,not_computed_ci_primary
pm3_2017_2025,within_weir_percentile_midrank,equal_per_observation,fai,chlorophyll_a,0.19009424485307275,0.19010069395146806,-0.098353386355231276,1385,16,13,111,14,15,12,0.12253862879510988,0.26166057718213864,3000,0.11437710669003315,0.27369692643853405,3000,-0.20976230654068967,0.045904381408958882,3000,3000,20260815,not_computed_ci_primary
pm3_2017_2025,within_weir_percentile_midrank,equal_per_observation,fai,harmful_cyanobacteria,0.28845408030669933,0.28845408030669933,-0.098353386355231276,1385,13,13,111,14,15,12,0.20571075163072181,0.36368160794294579,3000,0.20669269068964433,0.36118203391392573,3000,-0.20976230654068967,0.045904381408958882,3000,3000,20260815,not_computed_ci_primary
pm3_2017_2025,site_by_calendar_month_pearson,equal_per_weir_fisher_z,ndci,chlorophyll_a,0.37489172390519326,0.36901763184131414,0.18439836384608391,1385,16,13,111,14,15,12,0.31057951100221964,0.43040482062655971,3000,0.29653067882548012,0.43068079711544699,3000,0.10754552875632795,0.25731375807266244,3000,3000,20260815,not_computed_ci_primary
pm3_2017_2025,site_by_calendar_month_pearson,equal_per_weir_fisher_z,ndci,harmful_cyanobacteria,0.18461926799523024,0.18461926799523024,0.18439836384608391,1385,13,13,111,14,15,12,0.092052693261505489,0.2626828924457042,3000,0.091022525107047156,0.26308094285460587,3000,0.10754552875632795,0.25731375807266244,3000,3000,20260815,not_computed_ci_primary
