window,specification,aggregation,index,endpoint,omitted_weir,association,estimable,n_estimable_weirs,n_common_weirs,common_support_association,paired_delta_chla_minus_cyano,is_endpoint_contrast
pm1_2017_2025,raw_within_weir_pearson,equal_per_observation,fai,chlorophyll_a,Dalseong Weir,0.1721349278591906,True,15,12,0.17371199903227949,,False
pm1_2017_2025,raw_within_weir_pearson,equal_per_observation,fai,harmful_cyanobacteria,Dalseong Weir,0.19590257722130586,True,12,12,0.19590257722130586,,False
pm1_2017_2025,raw_within_weir_pearson,equal_per_observation,fai,chlorophyll_a,Gangcheon Weir,0.17592642275673931,True,15,13,0.17752070487728197,,False
pm1_2017_2025,raw_within_weir_pearson,equal_per_observation,fai,harmful_cyanobacteria,Gangcheon Weir,0.19477378329079387,True,13,13,0.19477378329079387,,False
pm1_2017_2025,raw_within_weir_pearson,equal_per_observation,fai,chlorophyll_a,Gangjeong-Goryeong Weir,0.17892958031760564,True,15,12,0.18088138739642148,,False
pm1_2017_2025,raw_within_weir_pearson,equal_per_observation,fai,harmful_cyanobacteria,Gangjeong-Goryeong Weir,0.19618281187154196,True,12,12,0.19618281187154196,,False
pm1_2017_2025,raw_within_weir_pearson,equal_per_observation,fai,chlorophyll_a,Gongju Weir,0.15642673187479911,True,15,12,0.15733666261883952,,False
pm1_2017_2025,raw_within_weir_pearson,equal_per_observation,fai,harmful_cyanobacteria,Gongju Weir,0.22168360215202987,True,12,12,0.22168360215202987,,False
pm1_2017_2025,raw_within_weir_pearson,equal_per_observation,fai,chlorophyll_a,Gumi Weir,0.20160356334271842,True,15,12,0.20389156105963724,,False
pm1_2017_2025,raw_within_weir_pearson,equal_per_observation,fai,harmful_cyanobacteria,Gumi Weir,0.21652154649607747,True,12,12,0.21652154649607747,,False
pm1_2017_2025,raw_within_weir_pearson,equal_per_observation,fai,chlorophyll_a,Hapcheon-Changnyeong Weir,0.1777186021517255,True,15,12,0.17943612406330472,,False
pm1_2017_2025,raw_within_weir_pearson,equal_per_observation,fai,harmful_cyanobacteria,Hapcheon-Changnyeong Weir,0.18388304274655295,True,12,12,0.18388304274655295,,False
pm1_2017_2025,raw_within_weir_pearson,equal_per_observation,fai,chlorophyll_a,Ipo Weir,0.17756376075325386,True,15,13,0.17752070487728197,,False
pm1_2017_2025,raw_within_weir_pearson,equal_per_observation,fai,harmful_cyanobacteria,Ipo Weir,0.19477378329079387,True,13,13,0.19477378329079387,,False
pm1_2017_2025,raw_within_weir_pearson,equal_per_observation,fai,chlorophyll_a,Juksan Weir,0.18144223577114227,True,15,12,0.18287108548430367,,False
pm1_2017_2025,raw_within_weir_pearson,equal_per_observation,fai,harmful_cyanobacteria,Juksan Weir,0.16564606915704003,True,12,12,0.16564606915704003,,False
pm1_2017_2025,raw_within_weir_pearson,equal_per_observation,fai,chlorophyll_a,Nakdan Weir,0.16978956412385926,True,15,12,0.1711306358589933,,False
pm1_2017_2025,raw_within_weir_pearson,equal_per_observation,fai,harmful_cyanobacteria,Nakdan Weir,0.20060868496782125,True,12,12,0.20060868496782125,,False
