weir_name,station_code,year,harmful_cyanobacteria_total_mean,harmful_cyanobacteria_total_median,harmful_cyanobacteria_total_max,harmful_cyanobacteria_total_log1p_mean,harmful_cyanobacteria_total_n,first_snapshot_x,first_locator_x,season_scope,chlorophyll_a_mean,chlorophyll_a_median,chlorophyll_a_max,chlorophyll_a_log1p_mean,chlorophyll_a_n,first_snapshot_y,first_locator_y,ndci_mean,fai_mean,ndci_exceedance_share_gt_0p00_descriptive,fai_exceedance_share_gt_0p00_descriptive,weir_code,tau_days,gate0_group,tau_robustness_flag,opened,post_open,late_post,log1p_harmful_cyanobacteria_total_mean,log1p_chlorophyll_a_mean,river
공주보,3012A32,2019,257.0,0.0,4490.0,5.552959584921617,60,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2019_01.xml,all_2019_01.xml#item[185],annual_all_samples,68.40833333333333,53.1,265.1,4.240006937153295,60,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2019_01.xml,all_2019_01.xml#item[185],0.0713146207342048,0.0275139325159041,0.769796549450396,0.641706222499638,3012601,0.490024,documented_opened_examples,robust_candidate_no_low_flow_flag,1,1,1,5.552959584921617,4.240006937153295,금강
공주보,3012A32,2020,419.4117647058824,0.0,4930.0,6.041234623163763,51,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2020_01.xml,all_2020_01.xml#item[178],annual_all_samples,24.380392156862747,12.5,125.4,3.2339769135799017,51,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2020_01.xml,all_2020_01.xml#item[178],0.0639311679885431,0.0235250231253664,0.7984886841787963,0.6710349529167553,3012601,0.133039,documented_opened_examples,robust_candidate_no_low_flow_flag,1,1,1,6.041234623163763,3.2339769135799017,금강
공주보,3012A32,2021,331.2,0.0,6390.0,5.8057371971791945,50,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2021_01.xml,all_2021_01.xml#item[153],annual_all_samples,46.138000000000005,23.8,164.4,3.853079469794196,50,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2021_01.xml,all_2021_01.xml#item[153],0.0646291530667843,0.0179500597761662,0.7259426720194653,0.5386509272270411,3012601,0.298743,documented_opened_examples,robust_candidate_no_low_flow_flag,1,1,1,5.8057371971791945,3.853079469794196,금강
공주보,3012A32,2022,435.4807692307692,0.0,4600.0,6.078744317564042,52,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2022_01.xml,all_2022_01.xml#item[153],annual_all_samples,35.646153846153844,17.35,113.0,3.6013084800196085,52,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2022_01.xml,all_2022_01.xml#item[153],0.032924766382122,0.0071149142269511,0.5521602939503876,0.340808015393864,3012601,0.375461,documented_opened_examples,robust_candidate_no_low_flow_flag,1,1,1,6.078744317564042,3.6013084800196085,금강
공주보,3012A32,2023,689.4893617021277,0.0,9175.0,6.537400566071905,47,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2023_01.xml,all_2023_01.xml#item[153],annual_all_samples,42.4531914893617,22.0,197.9,3.7716843010130536,47,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2023_01.xml,all_2023_01.xml#item[153],0.0571714784810556,0.0177023857010662,0.7384441566218918,0.5277702340415161,3012601,0.306231,documented_opened_examples,robust_candidate_no_low_flow_flag,1,1,1,6.537400566071905,3.7716843010130536,금강
공주보,3012A32,2024,585.1,0.0,8720.0,6.373490423482384,50,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2024_01.xml,all_2024_01.xml#item[151],annual_all_samples,34.314,21.2,168.0,3.5642794858806064,50,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2024_01.xml,all_2024_01.xml#item[151],0.0718678707948114,0.0130425357717096,0.7305165602419545,0.4646001471608866,3012601,0.254768,documented_opened_examples,robust_candidate_no_low_flow_flag,1,1,1,6.373490423482384,3.5642794858806064,금강
공주보,3012A32,2025,319.3061224489796,0.0,5130.0,5.769277171165427,49,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2025_01.xml,all_2025_01.xml#item[187],annual_all_samples,38.00612244897959,21.4,127.7,3.6637186196799254,49,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2025_01.xml,all_2025_01.xml#item[187],0.0799334513222264,0.0105217616998217,0.7806205228754278,0.5490878379386603,3012601,0.199501,documented_opened_examples,robust_candidate_no_low_flow_flag,1,1,1,5.769277171165427,3.6637186196799254,금강
구미보,2009A30,2017,3535.52,383.5,32518.0,8.170898471768975,50,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2017_01.xml,all_2017_01.xml#item[128],annual_all_samples,16.112000000000002,13.1,39.2,2.8397799717801044,50,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2017_01.xml,all_2017_01.xml#item[128],0.0230616350643305,-6.5430142640546e-05,0.4429824126581279,0.1761477045908184,2009602,5.73241,comparison_or_unresolved,robust_candidate_no_low_flow_flag,0,0,0,8.170898471768975,2.8397799717801044,낙동강
구미보,2009A30,2018,1387.8863636363635,163.0,11553.0,7.236257527770702,44,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2018_03.xml,all_2018_03.xml#item[156],annual_all_samples,19.64090909090909,18.45,66.2,3.0272749847455898,44,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2018_03.xml,all_2018_03.xml#item[156],-0.0007886600906005,-0.0069314800735086,0.3694419934964529,0.2477082259322412,2009602,4.21905,comparison_or_unresolved,robust_candidate_no_low_flow_flag,0,1,0,7.236257527770702,3.0272749847455898,낙동강
구미보,2009A30,2019,3218.5576923076924,174.0,41079.0,8.07699926646598,52,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2019_01.xml,all_2019_01.xml#item[156],annual_all_samples,17.38076923076923,14.95,53.5,2.9113049675626304,52,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2019_01.xml,all_2019_01.xml#item[156],0.0353391155645274,0.010769222197916,0.5656329643903962,0.3633895649173694,2009602,6.0433,comparison_or_unresolved,contains_near_zero_or_nonpositive_discharge,0,1,1,8.07699926646598,2.9113049675626304,낙동강
구미보,2009A30,2020,1839.0833333333333,177.5,46000.0,7.517566139432549,48,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2020_01.xml,all_2020_01.xml#item[153],annual_all_samples,18.89375,14.65,59.9,2.990405612048266,48,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2020_01.xml,all_2020_01.xml#item[153],0.0317904864211178,0.0050366130572234,0.6314205440284788,0.356082402795682,2009602,2.43703,comparison_or_unresolved,robust_candidate_no_low_flow_flag,0,1,1,7.517566139432549,2.990405612048266,낙동강
구미보,2009A30,2021,1584.6458333333333,139.0,24388.0,7.368747069145172,48,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2021_02.xml,all_2021_02.xml#item[129],annual_all_samples,23.2625,19.95,74.9,3.1889319484951284,48,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2021_02.xml,all_2021_02.xml#item[129],0.0377855449848363,0.0069062546194726,0.6154783424854176,0.2380841681012211,2009602,4.02441,comparison_or_unresolved,contains_near_zero_or_nonpositive_discharge,0,1,1,7.368747069145172,3.1889319484951284,낙동강
구미보,2009A30,2022,7739.311111111111,959.0,132470.0,8.95419716100996,45,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2022_01.xml,all_2022_01.xml#item[129],annual_all_samples,18.62666666666667,13.5,65.2,2.976889185752511,45,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2022_01.xml,all_2022_01.xml#item[129],0.0424177736725531,0.017715560171034,0.6046634655633549,0.3903017640216268,2009602,6.07384,comparison_or_unresolved,contains_near_zero_or_nonpositive_discharge,0,1,1,8.95419716100996,2.976889185752511,낙동강
구미보,2009A30,2023,640.0,48.5,5511.0,6.46302945692067,42,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2023_02.xml,all_2023_02.xml#item[129],annual_all_samples,14.938095238095238,10.25,99.9,2.768712170493858,42,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2023_02.xml,all_2023_02.xml#item[129],7.326899207457607e-05,0.0040064868790748,0.5641054071710209,0.2940316213164446,2009602,2.30689,comparison_or_unresolved,contains_near_zero_or_nonpositive_discharge,0,1,1,6.46302945692067,2.768712170493858,낙동강
구미보,2009A30,2024,3176.125,226.0,32610.0,8.063731978789813,48,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2024_01.xml,all_2024_01.xml#item[127],annual_all_samples,26.85625,23.200000000000003,86.1,3.3270573577127287,48,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2024_01.xml,all_2024_01.xml#item[127],0.0494040842245394,0.0096789184690369,0.6204358834710513,0.3404629660957351,2009602,3.65501,comparison_or_unresolved,robust_candidate_no_low_flow_flag,0,1,1,8.063731978789813,3.3270573577127287,낙동강
구미보,2009A30,2025,3031.7380952380954,220.5,33852.0,8.017221152241659,42,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2025_01.xml,all_2025_01.xml#item[159],annual_all_samples,16.469047619047622,12.2,114.1,2.8604306074365806,42,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2025_01.xml,all_2025_01.xml#item[159],0.0226219617662919,0.0203132392778837,0.5446612873938413,0.3768251445870893,2009602,5.5383,comparison_or_unresolved,robust_candidate_no_low_flow_flag,0,1,1,8.017221152241659,2.8604306074365806,낙동강
낙단보,2009A05,2017,2830.0833333333335,174.5,35731.0,7.948414720684792,48,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2017_01.xml,all_2017_01.xml#item[126],annual_all_samples,16.833333333333332,16.0,42.0,2.8810693652338513,48,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2017_01.xml,all_2017_01.xml#item[126],-0.023232024201326,-0.0161213991977154,0.2269827878796385,0.0720240790678182,2009601,3.73901,comparison_or_unresolved,robust_candidate_no_low_flow_flag,0,0,0,7.948414720684792,2.8810693652338513,낙동강
낙단보,2009A05,2018,4635.260869565217,160.0,89200.0,8.441663473274541,46,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2018_03.xml,all_2018_03.xml#item[151],annual_all_samples,17.606521739130436,17.1,45.4,2.923512150398469,46,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2018_03.xml,all_2018_03.xml#item[151],-0.0174210734222258,-0.0144745494775372,0.3047583453040491,0.0744686586042724,2009601,2.66331,comparison_or_unresolved,robust_candidate_no_low_flow_flag,0,1,0,8.441663473274541,2.923512150398469,낙동강
낙단보,2009A05,2019,3963.877551020408,101.0,70714.0,8.285230251125595,49,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2019_02.xml,all_2019_02.xml#item[121],annual_all_samples,18.663265306122447,17.5,39.0,2.9787521897437945,49,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2019_02.xml,all_2019_02.xml#item[121],-0.0001071378728184,-0.0004676041983944,0.4794506929533587,0.2622810361233251,2009601,3.97859,comparison_or_unresolved,contains_near_zero_or_nonpositive_discharge,0,1,1,8.285230251125595,2.9787521897437945,낙동강
낙단보,2009A05,2020,994.8541666666666,58.5,16516.0,6.903600827854918,48,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2020_01.xml,all_2020_01.xml#item[149],annual_all_samples,18.477083333333333,14.5,47.8,2.969238560789379,48,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2020_01.xml,all_2020_01.xml#item[149],-0.0077747032003654,-0.0122451083501469,0.4433752842462289,0.1758447227307913,2009601,1.95107,comparison_or_unresolved,robust_candidate_no_low_flow_flag,0,1,1,6.903600827854918,2.969238560789379,낙동강
낙단보,2009A05,2021,1726.0681818181818,104.0,38354.0,7.454180557285249,44,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2021_02.xml,all_2021_02.xml#item[125],annual_all_samples,26.129545454545458,22.299999999999997,78.0,3.3006233721827316,44,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2021_02.xml,all_2021_02.xml#item[125],0.0206162086085832,-0.0039211122258255,0.5956925287534679,0.2202025961715031,2009601,3.23805,comparison_or_unresolved,robust_candidate_no_low_flow_flag,0,1,1,7.454180557285249,3.3006233721827316,낙동강
