site,date,component_rows,scene_ids,product_ids,tiles,utc_timestamps,ndci_component_values,ndci_component_counts,ndci_weighted_numerator,ndci_valid_pixels,ndci_mean,fai_component_values,fai_component_counts,fai_weighted_numerator,fai_valid_pixels,fai_mean
Baekje Weir,2020-06-21,2,20200621T021609_20200621T021605_T52SBF|20200621T021609_20200621T021605_T52SCF,S2B_MSIL2A_20200621T021609_N0214_R003_T52SBF_20200621T050033|S2B_MSIL2A_20200621T021609_N0214_R003_T52SCF_20200621T050033,52SBF|52SCF,2020-06-21T02:27:33.249000+00:00|2020-06-21T02:27:29.493000+00:00,0.10960605494651821|0.095856090279964501,2227|10510,1251.540193208323,12737,0.098260202026248175,0.0017824243686637999|0.00052261266597090005,2227|10510,9.4621181883684411,12737,0.0007428843674623884
Baekje Weir,2020-07-21,2,20200721T021609_20200721T021604_T52SBF|20200721T021609_20200721T021604_T52SCF,S2B_MSIL2A_20200721T021609_N0214_R003_T52SBF_20200721T045342|S2B_MSIL2A_20200721T021609_N0214_R003_T52SCF_20200721T045342,52SBF|52SCF,2020-07-21T02:27:32.485000+00:00|2020-07-21T02:27:28.732000+00:00,0.15681964775350049|0.023703989431630702,2227|10501,598.15294856859964,12728,0.046995046242033281,0.028445648747991999|-0.0075060988840281,2227|10501,-15.4730846194009,12728,-0.0012156728959303034
Baekje Weir,2020-08-20,2,20200820T021609_20200820T021606_T52SBF|20200820T021609_20200820T021606_T52SCF,S2B_MSIL2A_20200820T021609_N0214_R003_T52SBF_20200820T045434|S2B_MSIL2A_20200820T021609_N0214_R003_T52SCF_20200820T045434,52SBF|52SCF,2020-08-20T02:27:34.237000+00:00|2020-08-20T02:27:30.482000+00:00,0.19697413651728779|0.11581708774010591,2227|10453,1649.2974201713271,12680,0.13007077446146112,0.078250631417514802|0.024190205703309101,2227|10453,427.12437638349547,12680,0.033684887727405008
Baekje Weir,2020-08-25,2,20200825T021611_20200825T021608_T52SBF|20200825T021611_20200825T021608_T52SCF,S2A_MSIL2A_20200825T021611_N0214_R003_T52SBF_20200825T053321|S2A_MSIL2A_20200825T021611_N0214_R003_T52SCF_20200825T053321,52SBF|52SCF,2020-08-25T02:27:36.117000+00:00|2020-08-25T02:27:32.350000+00:00,0.2079271204518427|0.1321915359408109,2227|10510,1852.3867399841763,12737,0.14543351966586923,0.071025427254864201|0.0120839335868245,2227|10510,285.17576849410807,12737,0.02238955550711377
Baekje Weir,2020-09-04,2,20200904T021611_20200904T021607_T52SBF|20200904T021611_20200904T021607_T52SCF,S2A_MSIL2A_20200904T021611_N0214_R003_T52SBF_20200904T052050|S2A_MSIL2A_20200904T021611_N0214_R003_T52SCF_20200904T052050,52SBF|52SCF,2020-09-04T02:27:35.232000+00:00|2020-09-04T02:27:31.467000+00:00,0.16442259406922369|0.036492185423004399,2227|10495,749.15460300659231,12722,0.058886543232714375,0.1106986747873602|-0.0089565783710377003,2227|10495,152.52665874741052,12722,0.011989204429131466
Baekje Weir,2020-09-14,1,20200914T021611_20200914T021607_T52SCF,S2A_MSIL2A_20200914T021611_N0214_R003_T52SCF_20200914T052323,52SCF,2020-09-14T02:27:31.077000+00:00,-0.022602557763266699,8283,-187.21698595313808,8283,-0.022602557763266699,-0.0061923206889895003,8283,-51.290992266900034,8283,-0.0061923206889895003
Baekje Weir,2020-09-24,2,20200924T021611_20200924T021608_T52SBF|20200924T021611_20200924T021608_T52SCF,S2A_MSIL2A_20200924T021611_N0214_R003_T52SBF_20200924T053235|S2A_MSIL2A_20200924T021611_N0214_R003_T52SCF_20200924T053235,52SBF|52SCF,2020-09-24T02:27:35.912000+00:00|2020-09-24T02:27:32.145000+00:00,0.23364934433743181|0.1895044111206709,2227|10510,2512.0284507177116,12737,0.19722292931755606,0.068681195939828396|0.018638659799634898,2227|10510,348.84533785216058,12737,0.02738834402545031
Baekje Weir,2020-10-09,2,20201009T021609_20201009T021609_T52SBF|20201009T021609_20201009T021609_T52SCF,S2B_MSIL2A_20201009T021609_N0214_R003_T52SBF_20201009T045242|S2B_MSIL2A_20201009T021609_N0214_R003_T52SCF_20201009T045242,52SBF|52SCF,2020-10-09T02:27:34.367000+00:00|2020-10-09T02:27:30.606000+00:00,0.1407930430819514|0.18885412616369299,2227|10510,2298.4029729239192,12737,0.18045088897887407,0.019059448027369499|0.0039143248475935997,2227|10510,83.584944905160597,12737,0.0065623730003266543
Baekje Weir,2020-10-19,2,20201019T021719_20201019T022536_T52SBF|20201019T021719_20201019T022536_T52SCF,S2B_MSIL2A_20201019T021719_N0214_R003_T52SBF_20201019T045725|S2B_MSIL2A_20201019T021719_N0214_R003_T52SCF_20201019T045725,52SBF|52SCF,2020-10-19T02:27:34.395000+00:00|2020-10-19T02:27:30.634000+00:00,0.095676680103119194|0.1004686381174117,2227|10510,1268.9973532036436,12737,0.09963078850621368,0.0024086771632284001|-0.0022117200691165002,2227|10510,-17.881053883904769,12737,-0.001403866992533938
Baekje Weir,2020-10-24,2,20201024T021751_20201024T022447_T52SBF|20201024T021751_20201024T022447_T52SCF,S2A_MSIL2A_20201024T021751_N0214_R003_T52SBF_20201024T045915|S2A_MSIL2A_20201024T021751_N0500_R003_T52SCF_20230427T115410,52SBF|52SCF,2020-10-24T02:27:36.027000+00:00|2020-10-24T02:27:32.261000+00:00,0.1596895054065072|0.13751484944591,2227|10510,1800.9095962168058,12737,0.14139197583550331,-0.0035208735279592999|-0.0054568658057899998,2227|10510,-65.192644965618257,12737,-0.0051183673522507854
