site,in_situ_date,chlorophyll_a,chlorophyll_a_station_count,chlorophyll_a_station_codes,chlorophyll_a_source_row_locators,chlorophyll_a_source_snapshot_hashes,harmful_cyanobacteria,harmful_cyanobacteria_station_count,harmful_cyanobacteria_station_codes,harmful_cyanobacteria_source_row_locators,harmful_cyanobacteria_source_snapshot_hashes,window,window_radius_days,window_start_year,window_end_year,satellite_dates,signed_lags,min_abs_lag,tie_count,satellite_component_rows,scene_ids,product_ids,tiles,utc_timestamps,ndci_valid_pixels,ndci_weighted_numerator,ndci_mean,fai_valid_pixels,fai_weighted_numerator,fai_mean
Baekje Weir,2020-07-20,15.9,1,3012A42,all_2020_07.xml#item[199],300a42755e3c874788c5c75c469f0f66a524c81ad03c3995dad4c35891559a68,0,1,3012A42,all_2020_07.xml#item[199],300a42755e3c874788c5c75c469f0f66a524c81ad03c3995dad4c35891559a68,pm1_2017_2025,1,2017,2025,2020-07-21,1,1,1,2,20200721T021609_20200721T021604_T52SBF|20200721T021609_20200721T021604_T52SCF,S2B_MSIL2A_20200721T021609_N0214_R003_T52SBF_20200721T045342|S2B_MSIL2A_20200721T021609_N0214_R003_T52SCF_20200721T045342,52SBF|52SCF,2020-07-21T02:27:32.485000+00:00|2020-07-21T02:27:28.732000+00:00,12728,598.15294856859964,0.046995046242033281,12728,-15.4730846194009,-0.0012156728959303034
Baekje Weir,2020-08-24,105.09999999999999,1,3012A42,all_2020_08.xml#item[157],b6b71b94c13adac24205bcb1d7dc9885fcbdb2ddcae8fe06ca385da417dd1e2e,0,1,3012A42,all_2020_08.xml#item[157],b6b71b94c13adac24205bcb1d7dc9885fcbdb2ddcae8fe06ca385da417dd1e2e,pm1_2017_2025,1,2017,2025,2020-08-25,1,1,1,2,20200825T021611_20200825T021608_T52SBF|20200825T021611_20200825T021608_T52SCF,S2A_MSIL2A_20200825T021611_N0214_R003_T52SBF_20200825T053321|S2A_MSIL2A_20200825T021611_N0214_R003_T52SCF_20200825T053321,52SBF|52SCF,2020-08-25T02:27:36.117000+00:00|2020-08-25T02:27:32.350000+00:00,12737,1852.3867399841763,0.14543351966586923,12737,285.17576849410807,0.02238955550711377
Baekje Weir,2020-09-14,12.699999999999999,1,3012A42,all_2020_09.xml#item[159],3bd59b77431fea9f73a29f8631685e3a9e74ba6b94db3b2872c6a3880cb61bde,10140,1,3012A42,all_2020_09.xml#item[159],3bd59b77431fea9f73a29f8631685e3a9e74ba6b94db3b2872c6a3880cb61bde,pm1_2017_2025,1,2017,2025,2020-09-14,0,0,1,1,20200914T021611_20200914T021607_T52SCF,S2A_MSIL2A_20200914T021611_N0214_R003_T52SCF_20200914T052323,52SCF,2020-09-14T02:27:31.077000+00:00,8283,-187.21698595313808,-0.022602557763266699,8283,-51.290992266900034,-0.0061923206889895003
Baekje Weir,2020-10-19,64.099999999999994,1,3012A42,all_2020_10.xml#item[197],18c9b8a69f83d3b760b9da7fd2884f21eacdbf2df1106c4cbc0c7a71b4b3d418,2070,1,3012A42,all_2020_10.xml#item[197],18c9b8a69f83d3b760b9da7fd2884f21eacdbf2df1106c4cbc0c7a71b4b3d418,pm1_2017_2025,1,2017,2025,2020-10-19,0,0,1,2,20201019T021719_20201019T022536_T52SBF|20201019T021719_20201019T022536_T52SCF,S2B_MSIL2A_20201019T021719_N0214_R003_T52SBF_20201019T045725|S2B_MSIL2A_20201019T021719_N0214_R003_T52SCF_20201019T045725,52SBF|52SCF,2020-10-19T02:27:34.395000+00:00|2020-10-19T02:27:30.634000+00:00,12737,1268.9973532036436,0.09963078850621368,12737,-17.881053883904769,-0.001403866992533938
Baekje Weir,2021-05-03,103.40000000000001,1,3012A42,all_2021_05.xml#item[157],5f034f8a819c42d389db76a204240c77832325bf6f580f4c7b24322a83e0cc94,0,1,3012A42,all_2021_05.xml#item[157],5f034f8a819c42d389db76a204240c77832325bf6f580f4c7b24322a83e0cc94,pm1_2017_2025,1,2017,2025,2021-05-02,-1,1,1,2,20210502T021601_20210502T022719_T52SBF|20210502T021601_20210502T022719_T52SCF,S2A_MSIL2A_20210502T021601_N0300_R003_T52SBF_20210502T041531|S2A_MSIL2A_20210502T021601_N0300_R003_T52SCF_20210502T041531,52SBF|52SCF,2021-05-02T02:27:30.087000+00:00|2021-05-02T02:27:28.195000+00:00,9570,362.43528920120195,0.037872026039833015,9570,84.713845203489242,0.0088520214423708724
Baekje Weir,2021-06-21,92.099999999999994,1,3012A42,all_2021_06.xml#item[157],5d93ab3d6f5ab5dda273937d39f88555b8c50413bbd277065aa9051bb710e3b0,0,1,3012A42,all_2021_06.xml#item[157],5d93ab3d6f5ab5dda273937d39f88555b8c50413bbd277065aa9051bb710e3b0,pm1_2017_2025,1,2017,2025,2021-06-21,0,0,1,2,20210621T021601_20210621T022255_T52SBF|20210621T021601_20210621T022255_T52SCF,S2A_MSIL2A_20210621T021601_N0300_R003_T52SBF_20210621T050048|S2A_MSIL2A_20210621T021601_N0300_R003_T52SCF_20210621T050048,52SBF|52SCF,2021-06-21T02:27:31.423000+00:00|2021-06-21T02:27:27.664000+00:00,12737,1425.1854313738106,0.11189333684335484,12701,-19.469425042301346,-0.0015329048927093414
Baekje Weir,2021-07-26,141.80000000000001,1,3012A42,all_2021_07.xml#item[197],fc411c6ec0833510386726929b9f63339710eb53311136b73649b838d2a39e86,10600,1,3012A42,all_2021_07.xml#item[197],fc411c6ec0833510386726929b9f63339710eb53311136b73649b838d2a39e86,pm1_2017_2025,1,2017,2025,2021-07-26,0,0,1,2,20210726T021609_20210726T021605_T52SBF|20210726T021609_20210726T021605_T52SCF,S2B_MSIL2A_20210726T021609_N0301_R003_T52SBF_20210726T043052|S2B_MSIL2A_20210726T021609_N0301_R003_T52SCF_20210726T043052,52SBF|52SCF,2021-07-26T02:27:32.668000+00:00|2021-07-26T02:27:28.907000+00:00,12737,2870.4830607443873,0.22536571097938191,12734,308.48375776840373,0.024225204787843863
Baekje Weir,2021-08-09,85.5,1,3012A42,all_2021_08.xml#item[162],1d7ef87cac3a802fc8fc47a857141d9b70aa31b6baa68ee51f7774a2bdd56384,3800,1,3012A42,all_2021_08.xml#item[162],1d7ef87cac3a802fc8fc47a857141d9b70aa31b6baa68ee51f7774a2bdd56384,pm1_2017_2025,1,2017,2025,2021-08-10,1,1,1,1,20210810T021611_20210810T022723_T52SBF,S2A_MSIL2A_20210810T021611_N0301_R003_T52SBF_20210810T043028,52SBF,2021-08-10T02:27:34.451000+00:00,2227,391.96889682468282,0.17600758725850149,2227,227.8190184600102,0.10229861628199829
Baekje Weir,2021-09-23,32.299999999999997,1,3012A42,all_2021_09.xml#item[198],fbcc957437ec7d1cb84380dd8b210ffd3a05b979a29c987e1b016ffca2b04cf2,0,1,3012A42,all_2021_09.xml#item[198],fbcc957437ec7d1cb84380dd8b210ffd3a05b979a29c987e1b016ffca2b04cf2,pm1_2017_2025,1,2017,2025,2021-09-24,1,1,1,1,20210924T021559_20210924T021601_T52SCF,S2B_MSIL2A_20210924T021559_N0301_R003_T52SCF_20210924T044840,52SCF,2021-09-24T02:27:24.939000+00:00,10510,1048.1877542882894,0.09973242191135008,10488,48.729753089643111,0.0046462388529408
Baekje Weir,2021-10-25,10.699999999999999,1,3012A42,all_2021_10.xml#item[157],458b2ab02cd574273b5a6fe2e8a7a9d773995df1cbafde4e75ae1fa9fd6f13dd,0,1,3012A42,all_2021_10.xml#item[157],458b2ab02cd574273b5a6fe2e8a7a9d773995df1cbafde4e75ae1fa9fd6f13dd,pm1_2017_2025,1,2017,2025,2021-10-24,-1,1,1,2,20211024T021749_20211024T021743_T52SBF|20211024T021749_20211024T021743_T52SCF,S2B_MSIL2A_20211024T021749_N0301_R003_T52SBF_20211024T044140|S2B_MSIL2A_20211024T021749_N0301_R003_T52SCF_20211024T044140,52SBF|52SCF,2021-10-24T02:27:32.275000+00:00|2021-10-24T02:27:28.506000+00:00,12737,173.61966098368575,0.013631126716156532,12735,-45.341679449971352,-0.0035603988574771381
